FID,occurrenceId,url,isPresentObservation,dataProviderId,datasetName,startDate,endDate,modified,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,county,province,institutionCode,recordedBy,reportedBy,habitat,occurrenceRemarks,eventRemarks,dyntaxaTaxonId,taxonCategory,organismGroup,vernacularName,scientificName,isRedlisted,redlistCategory,isProtectedByLaw,isInvasiveInSweden,isInvasiveEu,invasiveRiskCategory,actionPlan,isHabitatsDirectiveAnnex2,isHabitatsDirectiveAnnex4,isHabitatsDirectiveAnnex5,isVerified,isUncertainIdentification,activity,lifeStage,gender,substrate,organismQuantity,organismQuantityUnit,isNaturalOccurrence,isNeverFoundObservation,isNotRediscoveredObservation,birdNestActivityId,project1Id,project1Name,project1Category,project1Url,project1Values,project2Id,project2Name,project2Category,project2Url,project2Values,point,pointLocation
SpeciesObservationsInvasive.iO_EE44BcnWOXMpyz808,urn:lsid:herbarium.emg.umu.se:observation:UPS*V-778539*264555,,true,7,Virtual Herbarium,1852-08-12T23:00:00,1852-08-12T23:00:00,,57.79459,18.79638,9144,,Gotland,Gotland,Gotland,,N.C. Kindberg,,,Storugns  i Lärbro,,264555,Art,Kärlväxter,bleklin,Linum bienne,false,NA,false,true,false,,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (18.79638 57.79459),POINT (18.79638 57.79459)
SpeciesObservationsInvasive.ga7EE44BSBpt87cS4udJ,urn:lsid:shark:observation:52cd4a53e88514b6475538aea96d5d3c-232617,,true,8,SHARK_Epibenthos_2010_2013_NLST,2013-09-25T00:00:00,2013-09-25T00:00:00,,57.24807,12.09135,1,,Varberg,Halland,Halland,,Bo Gustafsson,U4,,,,232617,Art,Alger,,Dasya baillouviana,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09135 57.24807),POINT (12.09135 57.24807)
SpeciesObservationsInvasive.Oa7EE44BSBpt87cS4uhJ,urn:lsid:shark:observation:25c358909eba8029c96d86859823e709-249392,,true,8,SHARK_Epibenthos_2010_2013_NLST,2011-09-10T00:00:00,2011-09-10T00:00:00,,57.25083,12.09057,1,,Varberg,Halland,Halland,,Bo Gustafsson,U1,,,,249392,Art,Blötdjur,stillahavsostron,Magallana gigas,false,NA,false,true,false,SE,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09057 57.25083),POINT (12.09057 57.25083)
SpeciesObservationsInvasive.Aa7EE44BSBpt87cS4ulK,urn:lsid:shark:observation:99828dcf952e05abc8d4f9cf23f4189b-232761,,true,8,SHARK_Epibenthos_2010_2013_NLST,2013-08-05T00:00:00,2013-08-05T00:00:00,,57.25083,12.09057,1,,Varberg,Halland,Halland,,Bo Gustafsson,U1,,,,232761,Art,Alger,japansk sargassotång,Sargassum muticum,false,NA,false,true,false,LO,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09057 57.25083),POINT (12.09057 57.25083)
SpeciesObservationsInvasive.Ua7EE44BSBpt87cS4ulK,urn:lsid:shark:observation:b72b17c9601bc9be21dca5150294d5d5-232617,,true,8,SHARK_Epibenthos_2010_2013_NLST,2012-08-31T00:00:00,2012-08-31T00:00:00,,57.25083,12.09057,1,,Varberg,Halland,Halland,,Bo Gustafsson,U1,,,,232617,Art,Alger,,Dasya baillouviana,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09057 57.25083),POINT (12.09057 57.25083)
SpeciesObservationsInvasive.aK7EE44BSBpt87cS4ulK,urn:lsid:shark:observation:2ab50ecea8a1e0c422232745181c9785-232617,,true,8,SHARK_Epibenthos_2010_2013_NLST,2012-08-30T00:00:00,2012-08-30T00:00:00,,57.24807,12.09135,1,,Varberg,Halland,Halland,,Bo Gustafssson,U4,,,,232617,Art,Alger,,Dasya baillouviana,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09135 57.24807),POINT (12.09135 57.24807)
SpeciesObservationsInvasive.cq7EE44BSBpt87cS4ulK,urn:lsid:shark:observation:e48f88934071d479a023b817683b9f9e-249392,,true,8,SHARK_Epibenthos_2010_2013_NLST,2011-09-01T00:00:00,2011-09-01T00:00:00,,57.24807,12.09135,1,,Varberg,Halland,Halland,,Bo Gustafsson,U4,,,,249392,Art,Blötdjur,stillahavsostron,Magallana gigas,false,NA,false,true,false,SE,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09135 57.24807),POINT (12.09135 57.24807)
SpeciesObservationsInvasive.uK7EE44BSBpt87cS4upK,urn:lsid:shark:observation:25c358909eba8029c96d86859823e709-232617,,true,8,SHARK_Epibenthos_2010_2013_NLST,2011-09-10T00:00:00,2011-09-10T00:00:00,,57.25083,12.09057,1,,Varberg,Halland,Halland,,Bo Gustafsson,U1,,,,232617,Art,Alger,,Dasya baillouviana,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09057 57.25083),POINT (12.09057 57.25083)
SpeciesObservationsInvasive.Hq7EE44BSBpt87cS4utK,urn:lsid:shark:observation:3d95c31a827ced538fe9482521824906-232617,,true,8,SHARK_Epibenthos_2010_2013_NLST,2013-08-05T00:00:00,2013-08-05T00:00:00,,57.25083,12.09057,1,,Varberg,Halland,Halland,,Bo Gustafsson,U1,,,,232617,Art,Alger,,Dasya baillouviana,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (12.09057 57.25083),POINT (12.09057 57.25083)
SpeciesObservationsInvasive.46_EE44BSBpt87cS8AjS,urn:lsid:slu.aqua.rom.nors:ObservedProperty:1262447.206227,,true,5,NORS,1991-07-16T00:00:00,1991-07-16T00:00:00,1998-10-02T00:00:00,58.87713,11.53636,5000,Norra Bullaresjön,Tanum,Västra Götaland,Bohuslän,,Länsstyrelsen i Västra Götalands län,Länsstyrelsen i Västra Götalands län,,,,206227,Art,Fiskar,regnbåge,Oncorhynchus mykiss,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.5363566239871 58.8771339709636),POINT (11.5363566239871 58.8771339709636)
SpeciesObservationsInvasive.T6_EE44BSBpt87cS8AnS,urn:lsid:slu.aqua.rom.nors:ObservedProperty:1262525.206227,,true,5,NORS,1991-07-16T00:00:00,1991-07-16T00:00:00,1998-10-02T00:00:00,58.87713,11.53636,5000,Norra Bullaresjön,Tanum,Västra Götaland,Bohuslän,,Länsstyrelsen i Västra Götalands län,Länsstyrelsen i Västra Götalands län,,,,206227,Art,Fiskar,regnbåge,Oncorhynchus mykiss,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.5363566239871 58.8771339709636),POINT (11.5363566239871 58.8771339709636)
SpeciesObservationsInvasive.8q_FE44BSBpt87cSEELV,urn:lsid:herbarium.emg.umu.se:observation:UPS*V-795133*223039,,true,7,Virtual Herbarium,1999-07-14T00:00:00,1999-07-14T00:00:00,,60.39089,18.15927,12665,,Östhammar,Uppsala,Uppland,,Ebbe Zachrisson,,,"Östhammar, OSO om Björnbo, Rångsand Fjädergilia",,223039,Art,Kärlväxter,fjädergilia,Gilia achilleifolia,false,NA,false,true,false,,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (18.15927 60.39089),POINT (18.15927 60.39089)
SpeciesObservationsInvasive.JhHFE44BkijtpyHnYk55,urn:lsid:shark:observation:41048505c830aaae58184102a8301fe3-232621,,true,8,SHARK_Epibenthos_2009_OLST_Matkampanjen_Gullmarn,2009-08-12T00:00:00,2009-08-12T00:00:00,,58.27129,11.49396,1,,Uddevalla,Västra Götaland,Bohuslän,,Sandra Andersson,G8,,,,232621,Art,Alger,japanplym,Dasysiphonia japonica,false,NA,false,true,false,SE,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.49396 58.27129),POINT (11.49396 58.27129)
SpeciesObservationsInvasive.mBHFE44BkijtpyHnYk96,urn:lsid:shark:observation:623a24d51a10e1cfb3ac11a82d463beb-232621,,true,8,SHARK_Epibenthos_2009_OLST_Matkampanjen_Gullmarn,2009-09-01T00:00:00,2009-09-01T00:00:00,,58.27868,11.50479,1,,Uddevalla,Västra Götaland,Bohuslän,,Sandra Andersson,G7,,,,232621,Art,Alger,japanplym,Dasysiphonia japonica,false,NA,false,true,false,SE,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.50479 58.27868),POINT (11.50479 58.27868)
SpeciesObservationsInvasive.pBHFE44BkijtpyHnYk96,urn:lsid:shark:observation:559480368cd6c2b52ea8d7cbaa065bfc-232617,,true,8,SHARK_Epibenthos_2009_OLST_Matkampanjen_Gullmarn,2009-09-08T00:00:00,2009-09-08T00:00:00,,58.31439,11.54675,1,,Uddevalla,Västra Götaland,Bohuslän,,Sandra Andersson,G4,,,,232617,Art,Alger,,Dasya baillouviana,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.54675 58.31439),POINT (11.54675 58.31439)
SpeciesObservationsInvasive.MBHFE44BkijtpyHnYlF6,urn:lsid:shark:observation:1ba1ec833872859ce94ac387732f394f-232621,,true,8,SHARK_Epibenthos_2009_OLST_Matkampanjen_Gullmarn,2009-09-08T00:00:00,2009-09-08T00:00:00,,58.31439,11.54675,1,,Uddevalla,Västra Götaland,Bohuslän,,Sandra Andersson,G4,,,,232621,Art,Alger,japanplym,Dasysiphonia japonica,false,NA,false,true,false,SE,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.54675 58.31439),POINT (11.54675 58.31439)
SpeciesObservationsInvasive.ThHFE44BkijtpyHnYlF6,urn:lsid:shark:observation:75da4c99597f62a10c90ddea88b2e3dd-232621,,true,8,SHARK_Epibenthos_2009_OLST_Matkampanjen_Gullmarn,2009-08-12T00:00:00,2009-08-12T00:00:00,,58.27129,11.49396,1,,Uddevalla,Västra Götaland,Bohuslän,,Sandra Andersson,G8,,,,232621,Art,Alger,japanplym,Dasysiphonia japonica,false,NA,false,true,false,SE,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.49396 58.27129),POINT (11.49396 58.27129)
SpeciesObservationsInvasive.CRHFE44BkijtpyHnZFkt,urn:lsid:shark:observation:eb32c1117e78ad6e190a2bcecdf9ae42-232617,,true,8,SHARK_Epibenthos_2009_OLST_Matkampanjen_Gullmarn,2009-09-02T00:00:00,2009-09-02T00:00:00,,58.3892,11.61283,1,,Uddevalla,Västra Götaland,Bohuslän,,Sandra Andersson,G1,,,,232617,Art,Alger,,Dasya baillouviana,false,NA,false,true,false,HI,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.61283 58.3892),POINT (11.61283 58.3892)
SpeciesObservationsInvasive.5xHFE44BkijtpyHna1yF,urn:lsid:shark:observation:5c530553205f2c5109873e90da853ec4-261373,,true,8,SHARK_Epibenthos_2010_ACLST_Trend_Holmoarna,2010-09-06T00:00:00,2010-09-06T00:00:00,,63.60078,20.7441,1,,Umeå,Västerbotten,Västerbotten,,Torleif Malm,H15,,,,261373,Art,Kräftdjur,slät havstulpan,Amphibalanus improvisus,false,NA,false,true,false,LO,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (20.7441 63.60078),POINT (20.7441 63.60078)
SpeciesObservationsInvasive.3BHFE44BkijtpyHna12F,urn:lsid:shark:observation:cea8a36b45a3e8ecf2ae4a2d027f2b83-232621,,true,8,SHARK_Epibenthos_2009_OLST_Matkampanjen_Gullmarn,2009-09-16T00:00:00,2009-09-16T00:00:00,,58.29601,11.52625,1,,Uddevalla,Västra Götaland,Bohuslän,,Anna Engdahl,G6,,,,232621,Art,Alger,japanplym,Dasysiphonia japonica,false,NA,false,true,false,SE,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.52625 58.29601),POINT (11.52625 58.29601)
SpeciesObservationsInvasive.4BHFE44BkijtpyHna12F,urn:lsid:shark:observation:696d09cbf6a8e270010e253070e40298-232621,,true,8,SHARK_Epibenthos_2009_OLST_Matkampanjen_Gullmarn,2009-09-16T00:00:00,2009-09-16T00:00:00,,58.29601,11.52625,1,,Uddevalla,Västra Götaland,Bohuslän,,Anna Engdahl,G6,,,,232621,Art,Alger,japanplym,Dasysiphonia japonica,false,NA,false,true,false,SE,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.52625 58.29601),POINT (11.52625 58.29601)
SpeciesObservationsInvasive.-BHFE44BkijtpyHna12F,urn:lsid:shark:observation:d53d96968ab1ac3847dafb57b2fda8ac-261373,,true,8,SHARK_Epibenthos_2010_ACLST_Trend_Holmoarna,2010-09-06T00:00:00,2010-09-06T00:00:00,,63.60078,20.7441,1,,Umeå,Västerbotten,Västerbotten,,Torleif Malm,H15,,,,261373,Art,Kräftdjur,slät havstulpan,Amphibalanus improvisus,false,NA,false,true,false,LO,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (20.7441 63.60078),POINT (20.7441 63.60078)
SpeciesObservationsInvasive.NBHFE44BkijtpyHna16F,urn:lsid:shark:observation:f82fdaca8353c36f9bd5aa83a565488b-232761,,true,8,SHARK_Epibenthos_2009_OLST_Matkampanjen_Gullmarn,2009-09-16T00:00:00,2009-09-16T00:00:00,,58.29601,11.52625,1,,Uddevalla,Västra Götaland,Bohuslän,,Anna Engdahl,G6,,,,232761,Art,Alger,japansk sargassotång,Sargassum muticum,false,NA,false,true,false,LO,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (11.52625 58.29601),POINT (11.52625 58.29601)
SpeciesObservationsInvasive.ABHFE44BkijtpyHna1-F,urn:lsid:shark:observation:8783920d562fe954aaa2e126d7ef9992-261373,,true,8,SHARK_Epibenthos_2010_ACLST_Trend_Holmoarna,2010-08-19T00:00:00,2010-08-19T00:00:00,,63.69613,20.86113,1,,Umeå,Västerbotten,Västerbotten,,Torleif Malm,H6,,,,261373,Art,Kräftdjur,slät havstulpan,Amphibalanus improvisus,false,NA,false,true,false,LO,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (20.86113 63.69613),POINT (20.86113 63.69613)
SpeciesObservationsInvasive.UK_FE44BSBpt87cSbbeI,urn:lsid:shark:observation:90245e55931870ef0f96f61695964148-261373,,true,8,SHARK_Epibenthos_2010_SVVAEK_Haninge,2010-09-10T00:00:00,2010-09-10T00:00:00,,59.00727,18.14562,1,,Haninge,Stockholm,Södermanland,,Sara Hallén,Hk15,,,,261373,Art,Kräftdjur,slät havstulpan,Amphibalanus improvisus,false,NA,false,true,false,LO,,false,false,false,false,false,,,,,,,true,false,false,0,,,,,,,,,,,POINT (18.14562 59.00727),POINT (18.14562 59.00727)
